itemName,place,state,category,description
Banarasi Saree,Varanasi,Uttar Pradesh,Textile,Silk sarees with zari brocade work
Chikankari Kurti,Lucknow,Uttar Pradesh,Textile,Hand-embroidered chikankari on cotton/georgette
Kanchipuram Silk Saree,Kanchipuram,Tamil Nadu,Textile,Heavy silk sarees with temple borders
Pashmina Shawl,Srinagar,Jammu & Kashmir,Textile,Fine wool shawls with delicate weave
Kashmiri Saffron,Pampore,Jammu & Kashmir,Spice,Premium saffron strands with rich aroma
Mysore Silk Saree,Mysuru,Karnataka,Textile,Silk sarees known for sheen and durability
Kolhapuri Chappal,Kolhapur,Maharashtra,Footwear,Handcrafted leather sandals
Bandhani Dupatta,Bhuj,Gujarat,Textile,Tie-dye bandhani in vibrant patterns
Kutch Embroidery,Bhuj,Gujarat,Handicraft,Colorful mirror-work embroidery
Blue Pottery,Jaipur,Rajasthan,Handicraft,Glazed pottery with blue floral motifs
Mojari Jutti,Jaipur,Rajasthan,Footwear,Traditional embroidered leather juttis
Phulkari Dupatta,Amritsar,Punjab,Textile,Colorful embroidery with geometric motifs
Sambalpuri Ikat Saree,Sambalpur,Odisha,Textile,Ikat weave with traditional motifs
Pattachitra Painting,Puri,Odisha,Art,Mythological paintings on cloth
Madhubani Painting,Madhubani,Bihar,Art,Folk art with bold lines and motifs
Terracotta Crafts,Bishnupur,West Bengal,Handicraft,Terracotta figurines and panels
Assam Muga Silk,Sualkuchi,Assam,Textile,Golden muga silk from Assam looms
Bamboo Handicraft,Agartala,Tripura,Handicraft,"Bamboo baskets, decor, and utilities"
Coir Products,Alappuzha,Kerala,Handicraft,Coir mats and home products
Aranmula Mirror,Aranmula,Kerala,Handicraft,"Metal alloy mirror, unique to Kerala"
Pipili Applique,Pipili,Odisha,Handicraft,Applique work on umbrellas and decor
Bidriware,Bidar,Karnataka,Handicraft,Black metalware with silver inlay
Channapatna Toys,Channapatna,Karnataka,Handicraft,"Lacquer wooden toys, GI-tagged"
Tanjore Painting,Thanjavur,Tamil Nadu,Art,Gold-foil paintings with embossed work
Poochampally Ikat,Pochampally,Telangana,Textile,Ikat patterns in cotton and silk
Hyderabadi Pearls,Hyderabad,Telangana,Jewelry,Pearl jewelry and strings
Darjeeling Tea,Darjeeling,West Bengal,Beverage,Aromatic tea from Himalayan gardens
Kullu Shawl,Kullu,Himachal Pradesh,Textile,Wool shawls with colorful borders
Kangra Tea,Palampur,Himachal Pradesh,Beverage,"Light, floral green/black teas"
Maheshwari Saree,Maheshwar,Madhya Pradesh,Textile,Sarees with zari stripes and checks
Chanderi Saree,Chanderi,Madhya Pradesh,Textile,Lightweight sarees with sheen
Dhokra Metal Craft,Bastar,Chhattisgarh,Handicraft,Lost-wax casting tribal metal art
Bastar Iron Craft,Jagdalpur,Chhattisgarh,Handicraft,Wrought iron tribal artifacts
Meenakari Jewelry,Jaipur,Rajasthan,Jewelry,Enamel work on gold/silver jewelry
Jaipuri Razai,Jaipur,Rajasthan,Home,Printed quilts and bedding
Goan Cashew,Panaji,Goa,Food,Roasted cashews and feni byproducts
Rajasthani Lac Bangles,Jaipur,Rajasthan,Accessories,Lac bangles with stones and mirror work
Nagaland Naga Shawl,Kohima,Nagaland,Textile,Tribal shawls with symbolic patterns
Manipuri Handloom,Imphal,Manipur,Textile,Handwoven phanek and shawls
Kinnauri Shawl,Kalpa,Himachal Pradesh,Textile,Wool shawls with geometric motifs
Banana Fiber Craft,Kanyakumari,Tamil Nadu,Handicraft,Eco-friendly banana fiber products
Saharanpur Wood Carving,Saharanpur,Uttar Pradesh,Handicraft,Intricate wood carving decor
Moradabad Brassware,Moradabad,Uttar Pradesh,Handicraft,Brass and metal decor items
Firozabad Bangles,Firozabad,Uttar Pradesh,Accessories,Glass bangles in bright colors
Kantha Stitch,Shantiniketan,West Bengal,Textile,Running-stitch embroidery on fabrics
Kota Doria Saree,Kota,Rajasthan,Textile,Light cotton-silk sarees with checks
Ajrakh Print Fabric,Ajrakhpur,Gujarat,Textile,Natural dye block prints
Bagru Print,Bagru,Rajasthan,Textile,Block printing with natural dyes
Sanganeri Print,Sanganer,Rajasthan,Textile,Floral block prints on cotton
Kalamkari,Srikalahasti,Andhra Pradesh,Art,Hand-painted and block-printed textiles
Etikoppaka Toys,Etikoppaka,Andhra Pradesh,Handicraft,Softwood lacquer toys
Araku Coffee,Araku Valley,Andhra Pradesh,Beverage,Specialty coffee from tribal farms
